address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
1 S Monroe St,,899000,Denver,CO,80209,4,4,2,4203,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
100 Detroit St,703,10475000,Denver,CO,80206,3,7,4,6599,,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
100 N Lafayette St,,1300000,Denver,CO,80218,5,5,2,3627,10454,Single Family Home,MADISON AND COMPANY PROPERTIES,2017-03-16
100 Park Ave W,404,287000,Denver,CO,80205,2,1,4,780,,Condo/Townhome/Row/H,TRELORA,2017-03-16
100 Park Ave W,605,289900,Denver,CO,80205,1,1,1,664,,Condo/Townhome/Row/H,EQUITY COLORADO,2017-03-16
100 Park Ave W,304,289900,Denver,CO,80205,1,1,1,780,,Condo/Townhome/Row/H,WK Real Estate,2017-03-16
100 Park Ave W,205,275000,Denver,CO,80205,1,1,1,779,,Condo/Townhome/Row/H,HOME REAL ESTATE,2017-03-16
100 Park Ave W,506,539000,Denver,CO,80205,2,2,4,1412,,Condo/Townhome/Row/H,Keller Williams Integrity Real Estate,2017-03-16
100 S University Blvd,9,2160000,Denver,CO,80209,3,5,3,6245,4403,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1000 S Dayton St,,700000,Denver,CO,80247,,,,,84071,Land,PREFERRED PROPERTIES INC,2017-03-16
101 S Downing St,1,545000,Denver,CO,80209,2,3,1,1416,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1010 S Elizabeth St,,1995000,Denver,CO,80209,6,5.5,2,5498,6160,Single Family Home,Grant Real Estate Llc,2017-03-16
1016 S Emerson St,,650000,Denver,CO,80209,3,2,2,2044,4760,Single Family Home,Clear Creek Realty Colorado Llc,2017-03-16
1019 W 37th Ave,,1500000,Denver,CO,80211,,,,9370,,Land,TRELORA,2017-03-16
1020 15th St,P165,65000,Denver,CO,80202,0,,1,120,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,37B,193000,Denver,CO,80202,0,1,,485,,Condo/Townhome/Row/H,Redfin Corporation,2017-03-16
1020 15th St,26K,275000,Denver,CO,80202,1,1,,639,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,33L,369900,Denver,CO,80202,2,2,,1001,,Condo/Townhome/Row/H,Rocky Mountain Real Estate Inc,2017-03-16
1020 15th St,39E,398000,Denver,CO,80202,2,2,,1316,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,40A,341500,Denver,CO,80202,1,1,,853,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,20J,439000,Denver,CO,80202,2,2,1,988,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,42D,1950000,Denver,CO,80202,3,4,2,3592,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
1020 15th St,18G,275000,Denver,CO,80202,1,1,,799,,Condo/Townhome/Row/H,CENTURY 21 Trenka Real Estate,2017-03-16
10209 E Warren Ave,,299888,Denver,CO,80247,,,,,30928,Land,A2Z Realty LLC,2017-03-16
1021 E 17th Ave,11,335000,Denver,CO,80218,2,1.5,,1386,1253,Condo/Townhome/Row/H,Nexstep Real Estate Group,2017-03-16
1023 S Locust St,,1080000,Denver,CO,80224,5,4,2,5113,6250,Single Family Home,Basham & Associates  Llc,2017-03-16
1029 E 8th Ave,205,225000,Denver,CO,80218,1,1,1,688,,Condo/Townhome/Row/H,Red Door Properties Inc,2017-03-16
1029 E 8th Ave,1401,425000,Denver,CO,80218,2,2,2,1323,,Condo/Townhome/Row/H,RE/MAX Northwest,2017-03-16
1029 E 8th Ave,1301,415000,Denver,CO,80218,2,2,2,1655,,Condo/Townhome/Row/H,The Bradley Group Llc,2017-03-16
103 N Franklin St,,2195000,Denver,CO,80218,6,6,3,6806,13068,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
1032 Pontiac St,,450000,Denver,CO,80220,3,1,2,1068,7630,Single Family Home,Berkshire Hathaway HomeServices,2017-03-16
1032 W 37th Ave,,439000,Denver,CO,80211,2,2,1,1010,,Condo/Townhome/Row/H,MB BINGHAM & CO,2017-03-16
1034 N Logan St,2E,339900,Denver,CO,80203,1,2,1,1002,12197,Condo/Townhome/Row/H,RE/MAX Professionals,2017-03-16
1035 S Elizabeth St,,1398000,Denver,CO,80209,5,5,2,4673,6160,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1041 Spruce St,,719000,Denver,CO,80230,4,4,2,3784,5500,Single Family Home,Brokers Guild Classic,2017-03-16
105 Fillmore St,203,1850000,Denver,CO,80206,2,3,2,2338,,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
105 Niagara St,,375000,Denver,CO,80220,3,1,2,1040,6730,Single Family Home,Ann Lampert Realty,2017-03-16
1050 Cherokee St,303,435000,Denver,CO,80204,1,2,1,1252,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
1050 N Corona St,316,349900,Denver,CO,80218,2,2,1,1162,,Condo/Townhome/Row/H,WEICHERT REALTOR PROFESSIONALS,2017-03-16
1050 N Lafayette St,607,287500,Denver,CO,80218,2,2,1,892,,Condo/Townhome/Row/H,MB BINGHAM & CO,2017-03-16
1050 W Colfax Ave,,499999,Denver,CO,80204,6,3.5,3,8000,43560,Single Family Home,Quest Realty,2017-03-16
1058 Newport St,,619000,Denver,CO,80220,4,2,2,1830,6500,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
10591 E 28th Pl,,789900,Denver,CO,80238,4,3,2,4311,5715,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
106 S University Blvd,13,1295000,Denver,CO,80209,4,4,2,5277,5475,Single Family Home,Kentwood Company,2017-03-16
1060 Erie St,,275000,Denver,CO,80221,3,1,2,2000,7490,Single Family Home,LANDMARK RESIDENTIAL BROKERAGE,2017-03-16
1061 Krameria St,,585000,Denver,CO,80220,4,3,2,2835,6140,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
1077 S Pearl St,,574900,Denver,CO,80209,2,1,3,1673,4690,Single Family Home,PARKSIDE REALTY & DEV COMPANY,2017-03-16
1077 S Pearl St,,574900,Denver,CO,80209,2,1,3,1673,4690,Multi-Family,PARKSIDE REALTY & DEV COMPANY,2017-03-16
1080 S Washington St,,699000,Denver,CO,80209,3,3,2,1592,3120,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1090 N Lafayette St,703,389900,Denver,CO,80218,2,2,1,1050,,Condo/Townhome/Row/H,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
11 S Garfield St,,780000,Denver,CO,80209,4,5,2,2644,,Condo/Townhome/Row/H,PorchLight Real Estate Group,2017-03-16
110 S Oneida St,,1149000,Denver,CO,80230,6,4,3,4820,9093,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
1100 Cherokee St,403,575000,Denver,CO,80204,2,2,2,1665,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1100 N Grant St,202,462500,Denver,CO,80203,2,2,1,1348,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
